Frame number,227
First frame,177
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.76,-131.179,-791.258,36.1102,-165.515,-975.806,44.1384,31.1787,5.12054,-2.91204,13.6967,-3.08929,-1.43593,-4.64978,2.02819,-11.716,-4.5527,0,0,171.673,-174.56,4.78572,-85.7054,3.50292,-171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.77,-133.747,-794.462,38.3043,-165.683,-978.874,43.4965,31.9081,4.41588,-3.96662,12.3412,-3.82234,-2.5341,-8.04148,1.22445,-8.13547,-7.96001,0,0,171.545,-175.217,4.50014,-87.0773,2.96433,-171.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.78,-136.239,-796.939,40.7558,-166.079,-981.179,43.2208,32.6195,3.7607,-4.99336,11.0758,-4.44478,-3.45228,-11.2177,0.489175,-4.80085,-11.1778,0,0,171.43,-175.856,4.16958,-88.4022,2.16869,-172.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.79,-138.65,-798.671,43.4491,-166.701,-982.704,43.3143,33.3112,3.15642,-6.00023,9.91555,-4.96232,-4.19726,-14.1789,-0.180161,-1.73541,-14.1723,0,0,171.329,-176.477,3.79422,-89.656,1.1687,-173.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8,-140.967,-799.613,46.3413,-167.546,-983.411,43.7832,33.9822,2.6046,-6.99396,8.87755,-5.38184,-4.7734,-16.9072,-0.784383,1.04109,-16.9043,0,0,171.247,-177.077,3.3749,-90.8102,0.0183814,-173.502,-21.2755,-1.08354e-015,7.38069,-113.898,42.7567,7.45155,36.315,79.0016,13.065,0,0,0.0326821,0,0,-0.169942,0,0,-0.127128
1.81,-143.169,-799.683,49.3522,-168.609,-983.227,44.6372,34.631,2.10732,-7.97881,7.98269,-5.71165,-5.18108,-19.3639,-1.32256,3.5103,-19.3261,0,0,171.186,-177.654,2.91346,-91.83,-1.22219,-173.801,-22.3607,1.47756e-015,6.46685,-123.009,44.7712,7.03712,45.8017,73.1448,14.7572,0,0,0.0133701,0,0,-0.158564,0,0,-0.11368
1.82,-145.228,-798.758,52.3624,-169.879,-982.041,45.8852,35.256,1.66708,-8.95532,7.25557,-5.96207,-5.41653,-21.491,-1.79246,5.6557,-21.3813,0,0,171.148,-178.202,2.41304,-92.6753,-2.48365,-173.99,-23.2949,-1.11638e-015,5.35873,-136.34,45.6362,6.4963,63.7111,64.336,16.7263,0,0,-0.0140514,0,0,-0.140009,0,0,-0.0960244
1.83,-147.115,-796.684,55.2231,-171.339,-979.716,47.5293,35.8544,1.28691,-9.91933,6.72244,-6.14605,-5.47289,-23.2171,-2.19131,7.46427,-23.009,0,0,171.137,-178.715,1.87829,-93.3039,-3.68736,-174.07,-23.9148,-2.75811e-015,4.1184,-152.83,45.4502,5.83824,89.5414,53.3709,18.8117,0,0,-0.0462497,0,0,-0.107555,0,0,-0.0739725
1.84,-148.797,-793.293,57.7741,-172.962,-976.095,49.5579,36.4216,0.969973,-10.8613,6.40779,-6.27915,-5.34204,-24.467,-2.51645,8.92752,-24.1515,0,0,171.154,-179.185,1.3154,-93.6768,-4.74916,-174.043,-24.0945,1.05071e-015,2.8392,-170.444,44.2619,5.08376,120.533,41.4208,20.7672,0,0,-0.0774005,0,0,-0.0561168,0,0,-0.0483658
