Frame number,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First frame,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point frequency,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog frequency,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3.91,30.491,-530.293,209.556,62.7724,-403.645,78.2264,30.563,0.473945,-11.4847,67.9631,-14.1171,40.29,4.06123,9.83797,-39.6717,3.12492,0,0,10.3813,-5.45785,-4.80322,-44.2262,-3.45647,-3.91076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.92,28.2911,-503.37,198.663,64.1148,-369.515,76.4985,32.0754,0.848817,-11.3584,67.3702,-13.7084,39.8129,5.67657,9.99216,-40.0821,4.34032,0,0,10.3589,-5.22747,-5.00374,-47.5041,-2.41089,-5.2438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.93,26.5007,-475.571,187.611,65.9689,-335.208,74.7886,33.4718,1.21068,-11.2961,66.5628,-13.3358,39.2088,7.17519,10.0894,-40.3382,5.46318,0,0,10.3314,-4.99107,-5.18936,-50.7799,-1.46062,-6.63439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.94,25.1298,-446.903,176.41,68.3191,-300.729,73.0989,34.7524,1.55751,-11.2977,65.5352,-12.9985,38.4704,8.53975,10.1243,-40.4297,6.4903,0,0,10.2988,-4.74875,-5.36,-54.0601,-0.619723,-8.07194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.95,24.2006,-417.387,165.091,71.1342,-266.089,71.4352,35.9184,1.88755,-11.3641,64.2852,-12.6967,37.5943,9.75013,10.0905,-40.3412,7.41646,0,0,10.2615,-4.50086,-5.51556,-57.3474,0.0978351,-9.5363,-10.9787,5.25E-16,6.28325,-34.7404,26.1453,5.50663,-26.3273,66.7198,-34.3247,0,0,-0.019836,0,0,-0.0375512,0,0,0.0160475
3.96,23.7461,-387.058,153.709,74.3735,-231.313,69.8084,36.9711,2.19934,-11.4964,62.8145,-12.4322,36.5823,10.7826,9.98211,-40.0555,8.23289,0,0,10.2199,-4.24802,-5.65592,-60.6375,0.677622,-10.9993,-11.1537,1.05E-15,5.14954,-33.0602,27.9649,4.51276,-36.831,65.1802,-34.5165,0,0,-0.00596942,0,0,-0.0363083,0,0,0.0131018
3.97,23.8042,-355.971,142.342,77.9911,-196.439,68.2382,37.9124,2.49155,-11.6948,61.1281,-12.2063,35.4407,11.612,9.79499,-39.5564,8.92771,0,0,10.1749,-3.99143,-5.78086,-63.9193,1.10635,-12.4283,-11.4685,6.57E-16,4.02378,-31.976,29.5826,3.50924,-45.8607,63.7204,-34.7781,0,0,0.00173741,0,0,-0.036759,0,0,0.0107781
3.98,24.4103,-324.194,131.09,81.9391,-161.513,66.7601,38.7433,2.76299,-11.9571,59.233,-12.0182,34.1781,12.2183,9.52791,-38.8308,9.4894,0,0,10.1276,-3.73285,-5.89005,-67.1783,1.37631,-13.7917,-12.1303,-1.44E-15,3.01041,-30.9326,30.8644,2.59283,-52.9003,61.6668,-34.6951,0,0,0.00440423,0,0,-0.0381924,0,0,0.00923208
