Frame number,158
First frame,183
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,LKneeMoment,,,RHipMoment,,,LHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.82,87.2123,-773.329,188.745,137.371,-665.078,53.5344,10.4758,-0.567829,2.82091,47.8477,-1.68588,22.4256,-2.58843,8.48104,-35.8328,-2.09826,0,0,10.9461,-4.68448,-1.34433,-39.5461,-9.23123,-10.1672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.83,86.0268,-753.701,200.242,134.751,-648.421,62.4326,12.9616,-0.725683,1.12598,52.1346,-2.99849,25.6927,-2.2074,8.91528,-37.1066,-1.76028,0,0,10.8133,-4.87048,-1.62376,-38.1435,-9.47866,-9.47737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.84,84.7477,-733.247,210.036,131.505,-629.96,70.2322,15.3568,-0.789096,-0.519312,55.9087,-4.41623,28.5308,-1.8476,9.24844,-38.0547,-1.45474,0,0,10.6903,-4.99015,-1.90295,-37.1033,-9.56121,-8.66056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.85,83.3621,-711.984,218.126,127.66,-609.711,76.9374,17.6709,-0.761973,-2.11571,59.1788,-5.8747,31.0059,-1.51052,9.48847,-38.7223,-1.17843,0,0,10.5777,-5.04456,-2.18137,-36.4369,-9.49482,-7.72589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.86,81.8388,-689.96,224.493,123.297,-587.713,82.5645,19.9127,-0.650278,-3.65926,61.9627,-7.31684,33.1796,-1.18117,9.65012,-39.1647,-0.915777,0,0,10.4772,-5.03565,-2.45832,-36.1589,-9.29167,-6.70228,0.589651,-26.3794,1.05707,-203.053,-45.4795,12.1502,-51.6073,-112.351,1.94182,0,0,0.84336,0,0,-0.878137,0,0,0.0103866
1.87,80.1336,-667.242,229.106,118.568,-564.027,87.1446,22.0886,-0.462345,-5.13918,64.2845,-8.69112,35.0988,-0.828118,9.75427,-39.4468,-0.639482,0,0,10.3903,-4.96684,-2.73294,-36.2855,-8.95897,-5.64409,-1.08939,-24.7628,0.693476,-176.578,-33.4386,10.6525,-42.622,-106.016,1.52828,0,0,0.710789,0,0,-0.669407,0,0,0.0140808
1.88,78.2044,-643.907,231.925,113.68,-538.733,90.7173,24.202,-0.208413,-6.53714,66.1709,-9.95078,36.7865,-0.412197,9.82299,-39.6315,-0.317461,0,0,10.3194,-4.84326,-3.00414,-36.8289,-8.4995,-4.62611,-2.03691,-22.7466,0.257393,-148.113,-18.2567,6.94034,-35.2148,-98.2225,1.02421,0,0,0.563565,0,0,-0.491361,0,0,0.0170286
1.89,76.0277,-620.019,232.92,108.87,-511.926,93.3269,26.252,0.100167,-7.82865,67.647,-11.0542,38.2413,0.102988,9.8748,-39.7702,0.0791568,0,0,10.2665,-4.67189,-3.27074,-37.7923,-7.91447,-3.73275,-2.20756,-20.3556,-0.199335,-120.448,-2.44005,1.53903,-29.2515,-89.2013,0.482729,0,0,0.417762,0,0,-0.343765,0,0,0.0196362
1.9,73.6085,-595.618,232.082,104.378,-483.713,95.0252,28.2332,0.451438,-8.98533,68.7335,-11.9659,39.445,0.742332,9.92249,-39.8973,0.569507,0,0,10.2334,-4.4614,-3.53152,-39.166,-7.20867,-3.04541,-1.42803,-17.7392,-0.605051,-94.657,13.5305,-5.35932,-25.1353,-79.3117,-0.027474,0,0,0.28134,0,0,-0.220358,0,0,0.0220632
