Frame number,152
First frame,190
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.89,33.2593,-929.995,259.134,56.8215,-871.633,89.7167,15.7041,-3.11852,-0.978009,62.8408,-4.41552,32.3518,-11.8379,8.09922,-34.6766,-9.71254,0,0,11.512,-8.6903,-0.569472,-21.5467,-13.5421,0.0955451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9,31.3471,-903.864,263.518,52.4607,-842.314,93.8394,18.1756,-2.27652,-3.01865,65.2128,-6.34951,34.1634,-10.9442,8.23736,-35.0988,-8.93598,0,0,11.4721,-8.14764,-0.863511,-22.3945,-13.086,0.865774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.91,29.4466,-877.388,265.805,48.4235,-811.273,96.9856,20.5768,-1.46947,-5.01143,67.1943,-8.21394,35.7655,-9.84303,8.40034,-35.5913,-7.99083,0,0,11.4416,-7.61932,-1.14077,-23.7199,-12.4711,1.49998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.92,27.5669,-850.554,265.999,44.7219,-778.524,99.1673,22.899,-0.699629,-6.8988,68.7868,-9.94258,37.1808,-8.5234,8.584,-36.1387,-6.87454,0,0,11.4179,-7.10529,-1.4021,-25.5232,-11.6839,1.99563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.93,25.7262,-823.326,264.122,41.3852,-744.112,100.414,25.1338,0.0305347,-8.62976,69.9927,-11.4803,38.4251,-6.98579,8.78095,-36.7172,-5.5948,0,0,11.3985,-6.60605,-1.64832,-27.7916,-10.7164,2.34599,-24.395,2.10142e-015,14.5543,94.1525,107.173,8.66591,-126.204,44.2717,-30.5636,0,0,0.282146,0,0,-0.199919,0,0,0.0659154
1.94,23.9458,-795.631,260.215,38.4666,-708.127,100.778,27.2732,0.71764,-10.1622,70.8154,-12.7844,39.5088,-5.25185,8.98228,-37.2992,-4.1756,0,0,11.3806,-6.12283,-1.88027,-30.4921,-9.57672,2.53996,-21.9201,-1.05071e-015,14.8237,84.3471,106.253,9.84316,-116.761,47.1388,-33.236,0,0,0.226543,0,0,-0.103294,0,0,0.0652554
1.95,22.2411,-767.349,254.351,36.0448,-670.703,100.333,29.3097,1.35812,-11.4651,71.2612,-13.8252,40.4371,-3.36502,9.17997,-37.8618,-2.65609,0,0,11.3611,-5.65701,-2.09899,-33.5722,-8.29286,2.5615,-19.1011,-2.10142e-015,15.277,72.2994,103.573,11.2461,-109.669,52.2017,-36.1177,0,0,0.182758,0,0,-0.0204471,0,0,0.0615797
1.96,20.618,-738.331,246.641,34.2193,-632.012,99.1769,31.2375,1.94902,-12.5203,71.3402,-14.5871,41.2088,-1.38355,9.36865,-38.3906,-1.08437,0,0,11.3376,-5.21001,-2.30577,-36.9655,-6.91098,2.3903,-16.3593,-0,15.8018,58.7206,98.9999,12.6435,-105.943,57.6459,-38.8124,0,0,0.156969,0,0,0.04262,0,0,0.0561132
1.97,19.0759,-708.411,237.235,33.0973,-592.244,97.4245,33.0526,2.48931,-13.3224,71.0671,-15.0684,41.815,0.630086,9.54548,-38.879,0.490506,0,0,11.3083,-4.78266,-2.50211,-40.6013,-5.48761,2.00527,-14.1327,2.10142e-015,16.2159,44.5615,93.6566,13.7617,-102.826,64.8301,-41.68,0,0,0.136093,0,0,0.0841609,0,0,0.0503385
