Frame number,162
First frame,343
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3.42,124.223,-251.437,143.875,168.517,-70.4349,62.6324,22.3522,-6.06585,-0.987556,42.2033,1.99295,6.4273,10.1708,1.86407,-10.5206,9.99804,0,0,-13.1785,0.416913,174.999,-112.829,2.14689,-166.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.43,121.869,-274.747,149.873,163.27,-96.9974,61.9992,21.1353,-6.18587,-1.56261,42.6969,1.56064,6.32492,9.73123,1.60014,-9.06532,9.60851,0,0,-12.9407,0.621837,175.071,-114.777,1.72289,-167.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.44,119.987,-296.479,153.764,158.337,-121.359,60.6341,19.8779,-6.22331,-1.95989,42.7361,1.18879,6.26472,9.25569,1.37662,-7.82328,9.1688,0,0,-12.7188,0.809164,175.114,-116.365,1.37592,-168.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.45,118.559,-316.614,155.543,153.742,-143.45,58.5793,18.583,-6.17835,-2.17941,42.3234,0.88276,6.2253,8.77116,1.19049,-6.78321,8.70928,0,0,-12.5128,0.9785,175.128,-117.562,1.11266,-169.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.46,117.534,-335.109,155.205,149.544,-163.101,55.9494,17.2584,-6.0525,-2.22668,41.4702,0.640643,6.18733,8.34531,1.0422,-5.9513,8.30002,0,0,-12.3234,1.12945,175.114,-118.304,0.940304,-170.519,-47.0956,3.17874e-015,7.5533,283.182,16.1469,7.33521,-404.841,-54.5169,17.4506,0,0,-0.925117,0,0,0.510577,0,0,-0.0305614
3.47,116.81,-351.888,152.773,145.839,-180.043,52.9531,15.9192,-5.84901,-2.11561,40.2026,0.454227,6.13321,8.09119,0.93631,-5.35565,8.05563,0,0,-12.1512,1.26151,175.073,-118.49,0.864556,-171.376,-55.3623,1.49588e-015,12.2091,285.504,11.4325,11.9201,-458.883,-53.2225,23.1825,0,0,-1.0518,0,0,0.705832,0,0,-0.0117376
3.48,116.224,-366.857,148.324,142.753,-193.962,49.8794,14.5893,-5.57314,-1.86962,38.5648,0.311205,6.04848,8.1466,0.881024,-5.04418,8.11485,0,0,-11.9968,1.37396,175.006,-118.002,0.884996,-172.039,-61.251,-3.7397e-015,16.7225,278.077,4.19976,16.3858,-512.64,-52.1497,29.6508,0,0,-1.15542,0,0,0.845749,0,0,0.0293329
3.49,115.554,-379.918,142.035,140.404,-204.619,47.0375,13.3011,-5.23215,-1.52123,36.6225,0.198245,5.92359,8.62726,0.885874,-5.07152,8.59323,0,0,-11.8613,1.46595,174.913,-116.756,0.989982,-172.411,-61.7231,2.99176e-015,19.8166,256.247,-6.13836,19.469,-552.038,-53.2521,35.7493,0,0,-1.18726,0,0,0.889655,0,0,0.0821376
3.5,114.538,-391,134.205,138.861,-211.995,44.6699,12.0936,-4.8346,-1.11019,34.4627,0.103975,5.75579,9.56728,0.957491,-5.4749,9.52322,0,0,-11.7455,1.53642,174.797,-114.765,1.15451,-172.412,-55.3851,2.24382e-015,20.3484,219.431,-19.4471,20.0335,-568.214,-58.2253,40.243,0,0,-1.11765,0,0,0.817821,0,0,0.121447
3.51,112.917,-400.087,125.247,138.1,-216.39,42.8971,11.0095,-4.38972,-0.679594,32.1891,0.0215173,5.54996,10.8888,1.09508,-6.24826,10.8233,0,0,-11.65,1.58431,174.661,-112.168,1.34412,-172.003,-43.7499,-0,17.9193,172.291,-33.8712,17.6787,-562.403,-65.6803,41.8506,0,0,-0.954643,0,0,0.65137,0,0,0.126875
