Frame number,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First frame,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point frequency,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog frequency,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2.14,-1239.81,-256.366,30.8292,-1445.88,-195.756,17.1018,24.833,-5.14409,-1.87273,20.1743,-2.23621,4.61235,3.72734,2.53854,-14.173,3.61372,0,0,166.989,175.932,-3.38689,-94.3907,5.43403,-163.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.15,-1239.73,-255.965,31.0246,-1446.14,-196.148,17.206,25.5759,-5.01438,-1.56806,20.9975,-2.1352,4.82339,3.66897,2.61954,-14.6044,3.55026,0,0,167.146,176.239,-3.27267,-94.3179,5.60431,-163.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.16,-1239.69,-255.645,31.1034,-1446.41,-196.54,17.3108,26.3342,-4.91597,-1.28649,21.7621,-2.03652,5.02504,3.56904,2.69513,-15.0054,3.4472,0,0,167.281,176.535,-3.138,-94.2302,5.7976,-163.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.17,-1239.7,-255.401,31.0722,-1446.69,-196.928,17.4157,27.1066,-4.84954,-1.02619,22.4664,-1.94151,5.21597,3.42603,2.76537,-15.3766,3.30325,0,0,167.396,176.819,-2.98342,-94.128,6.01524,-164.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.18,-1239.73,-255.226,30.9444,-1446.97,-197.303,17.5187,27.8907,-4.81574,-0.786091,23.1066,-1.85186,5.39545,3.2363,2.83068,-15.7205,3.11512,0,0,167.491,177.091,-2.80941,-94.0129,6.25903,-164.228,110.473,31.2499,-28.9415,-135.215,21.2181,-23.4246,116.092,12.5487,-30.8718,0,0,-0.149826,0,0,0.14047,0,0,0.0354638
2.19,-1239.79,-255.108,30.7388,-1447.22,-197.656,17.616,28.6828,-4.81531,-0.564836,23.6756,-1.7692,5.56358,2.99293,2.89183,-16.0415,2.87628,0,0,167.565,177.35,-2.61665,-93.8881,6.53124,-164.44,110.644,30.7936,-29.6938,-134.408,21.2324,-24.1118,118.593,14.2375,-32.0661,0,0,-0.154099,0,0,0.121693,0,0,0.0482061
2.2,-1239.86,-255.033,30.4762,-1447.43,-197.978,17.7007,29.4771,-4.84895,-0.361626,24.163,-1.69547,5.7208,2.68508,2.94938,-16.3427,2.57653,0,0,167.62,177.597,-2.40592,-93.759,6.83416,-164.648,103.854,28.7044,-29.3394,-125.794,20.8967,-24.0273,117.067,14.8164,-32.2338,0,0,-0.151726,0,0,0.0946821,0,0,0.05911
2.21,-1239.93,-254.99,30.1759,-1447.56,-198.275,17.7648,30.2669,-4.9172,-0.176445,24.5551,-1.6331,5.86621,2.29883,3.00273,-16.621,2.20272,0,0,167.653,177.829,-2.17831,-93.6323,7.16916,-164.849,107.357,29.0286,-31.2189,-128.092,19.6925,-25.6648,128.034,15.0749,-33.6647,0,0,-0.164542,0,0,0.0740799,0,0,0.078463
