Frame number,153
First frame,314
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3.13,-16.7518,282.951,63.0507,-105.909,103.219,65.9559,37.8342,0.567442,-1.10994,31.4607,0.951945,-1.4145,8.34942,2.58564,-14.4241,8.08445,0,0,13.1602,-2.81019,-9.11178,-90.6345,-0.262911,-26.2705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.14,-26.6359,239.787,60.3714,-113.316,61.4174,74.9193,38.6118,0.229641,-2.65312,28.0691,-0.0848323,-1.35424,7.76882,2.35484,-13.1887,7.56269,0,0,13.5257,-2.87071,-8.45128,-94.2649,-1.31102,-25.8471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.15,-36.0243,198.636,58.0697,-120.089,21.5625,83.6829,39.2998,-0.0877839,-3.97678,24.7986,-0.899392,-1.36261,7.30336,2.11554,-11.8944,7.14572,0,0,13.8696,-2.90071,-7.80894,-97.7662,-2.2745,-25.2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.16,-44.9116,159.514,56.1358,-126.227,-16.3342,92.227,39.8985,-0.382148,-5.09235,21.6878,-1.5268,-1.48732,6.95668,1.86476,-10.5244,6.83908,0,0,14.1903,-2.90119,-7.18499,-101.107,-3.14629,-24.5694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.17,-53.2839,122.455,54.5445,-131.73,-52.2432,100.499,40.4087,-0.651011,-6.00978,18.7685,-2.00171,-1.75931,6.72568,1.60213,-9.07635,6.64108,0,0,14.4863,-2.87313,-6.57975,-104.256,-3.92164,-23.7466,-10.3985,1.2154e-015,1.85594,-292.109,-1.23155,1.74672,406.715,0.529122,14.5891,0,0,-0.327522,0,0,-1.41693,0,0,-0.00685617
3.18,-61.116,87.5274,53.2488,-136.599,-86.1109,108.399,40.8316,-0.892015,-6.73774,16.0693,-2.35687,-2.18769,6.60089,1.33075,-7.56746,6.54314,0,0,14.7563,-2.81756,-5.9937,-107.181,-4.598,-22.8294,-8.04497,-1.49588e-015,2.35191,-303.746,5.24231,2.27267,428.552,2.96604,15.9437,0,0,-0.283528,0,0,-1.34899,0,0,-0.00666759
3.19,-68.3722,54.8307,52.1792,-140.835,-117.859,115.773,41.1692,-1.10275,-7.28418,13.6181,-2.62202,-2.75763,6.56713,1.05748,-6.03713,6.53055,0,0,14.9989,-2.73554,-5.42766,-109.842,-5.17454,-21.8447,-5.03461,5.60955e-016,3.00517,-320.318,11.7873,2.95386,459.814,4.29458,17.9745,0,0,-0.239632,0,0,-1.27704,0,0,-0.00757052
3.2,-75.01,24.493,51.2474,-144.443,-147.391,122.417,41.4243,-1.28065,-7.65658,11.4434,-2.82293,-3.43202,6.60433,0.792542,-4.54506,6.58347,0,0,15.2131,-2.6282,-4.88281,-112.2,-5.65142,-20.8235,-1.59505,1.49588e-015,3.70029,-339.793,17.8648,3.66847,495.787,3.88485,20.5131,0,0,-0.191479,0,0,-1.18424,0,0,-0.0089302
3.21,-80.9866,-3.34329,50.3557,-147.427,-174.606,128.092,41.6008,-1.42306,-7.86276,9.57379,-2.98065,-4.1563,6.68823,0.548461,-3.16482,6.67798,0,0,15.3976,-2.49682,-4.3608,-114.212,-6.02902,-19.7987,1.99746,1.86985e-016,4.28875,-358.975,22.8052,4.26578,530.001,1.23452,23.1876,0,0,-0.137071,0,0,-1.0543,0,0,-0.00978324
