Frame number,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First frame,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point frequency,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog frequency,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3.41,-98.6083,-155.417,29.7234,-157.992,-330.272,113.398,41.5491,-2.95938,-4.5155,6.72887,-2.6082,-9.4366,6.7836,0.570332,-3.28867,6.77237,0,0,16.674,-2.07182,1.09211,-115.897,-5.14812,-17.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.42,-99.9798,-158.461,31.0515,-156.392,-337.648,102.509,41.1729,-2.15696,-3.8043,8.26268,-2.44594,-7.95814,4.86597,0.806521,-4.62397,4.8501,0,0,16.3914,-1.46592,0.833139,-112.126,-4.30882,-16.4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.43,-101.286,-161.233,32.3808,-155.233,-344.294,92.6358,40.7843,-1.39804,-3.19804,9.75708,-2.26896,-6.48453,3.2118,1.04376,-5.96008,3.19443,0,0,16.1226,-0.909564,0.584869,-108.678,-3.7088,-15.6602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.44,-102.523,-163.734,33.7073,-154.507,-350.221,83.7744,40.3833,-0.682979,-2.69962,11.2135,-2.08937,-5.02554,1.84473,1.28281,-7.29972,1.82976,0,0,15.8671,-0.404224,0.346745,-105.57,-3.30783,-14.9341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.45,-103.68,-165.968,35.0209,-154.2,-355.451,75.9108,39.9683,-0.0121038,-2.3111,12.6315,-1.91796,-3.59239,0.77473,1.52369,-8.64143,0.765927,0,0,15.6247,0.0488283,0.118407,-102.801,-3.06089,-14.3402,-59.5494,134.486,-1.75547,-80.6932,258.83,-1.41937,741.677,384.802,-53.6085,0,0,0.19159,0,0,0.122838,0,0,0.020721
3.46,-104.74,-167.941,36.3045,-154.28,-360.027,69.0193,39.5365,0.614336,-2.03314,14.0073,-1.76399,-2.19953,0.000198379,1.76519,-9.9769,0.000196453,0,0,15.3952,0.448563,-0.10022,-100.364,-2.9221,-13.8951,-70.6644,148.457,6.31723,59.7878,343.049,4.13807,561.076,532.364,-80.906,0,0,-0.0577107,0,0,-0.256231,0,0,0.0521402
3.47,-105.681,-169.665,37.5351,-154.698,-364.011,63.0607,39.0835,1.19615,-1.86459,15.3329,-1.63511,-0.865541,-0.489778,2.00446,-11.2892,-0.480307,0,0,15.1781,0.79424,-0.308876,-98.2434,-2.84773,-13.6052,-22.686,181.319,14.8566,71.9849,471.167,12.4947,662.419,751.986,-114.602,0,0,-0.125555,0,0,-0.329145,0,0,0.139093
3.48,-106.48,-171.153,38.687,-155.389,-367.478,57.9826,38.6028,1.7332,-1.802,16.5958,-1.53745,0.387556,-0.713332,2.23697,-12.5529,-0.696284,0,0,14.9732,1.08546,-0.506946,-96.4193,-2.79883,-13.4666,40.7566,212.89,29.6283,129.253,598.912,28.7141,695.412,975.745,-146.726,0,0,-0.215564,0,0,-0.492779,0,0,0.185166
